1571829281,3,18,1,"CK,C2,C5,CA;D9,DA,DQ,DK;D8,D5,D7,DJ;D4,SQ,D6,D10;D2,HQ,HA,D3;CJ,CQ,H10,C8;C10,C6,H4,HK;C9,C4,H3,H8;C7,HJ,SJ,H5;C3,H9,S10,SA;S4,S7,S8,SK;S3,H7,S5,S9;H2,H6,S2,S6"
1571829281,3,20,1,"C2,CJ,CA,CQ;DQ,DA,DK,D9;DJ,D10,D8,D6;D7,D2,HJ,D5;D3,SQ,H9,D4;SJ,SK,SA,S7;CK,C10,C7,HA;S10,S8,S2,S6;S9,S4,H4,S5;HK,HQ,C6,H10;H6,C9,C5,H8;H3,C8,C4,H7;H2,S3,C3,H5"
1571829281,3,25,1,"C2,C9,CQ,CJ;D7,D10,D4,DA;D6,D9,SQ,DK;D2,HA,HJ,DQ;HK,HQ,H10,DJ;H9,H8,H5,D8;H6,H7,H3,D5;SA,H4,S10,D3;CA,C7,C8,C10;CK,C3,C6,SK;C4,H2,C5,SJ;S4,S7,S5,S9;S3,S6,S2,S8"
1571829281,3,26,1,"CQ,CA,C2,CJ;DA,D10,DK,DJ;D7,D5,DQ,D8;D6,D4,D9,HA;HQ,HJ,D3,HK;H9,H6,D2,H4;C9,C3,CK,H3;C7,H5,C10,H2;C6,SJ,C8,SK;C4,S9,C5,S10;S3,S8,SQ,S7;H8,S5,H10,S6;SA,S4,H7,S2"
1571829281,3,0,1,"CK,CA,C2,CQ;DQ,D10,DA,DK;DJ,D7,D9,D4;D8,D6,D5,H9;D3,HQ,D2,H5;C9,C10,C6,CJ;SQ,C8,C4,C7;HK,C5,HA,H3;HJ,C3,H8,H2;SK,SA,S6,S9;SJ,S10,S5,S8;H10,H6,H7,S3;H4,S7,S4,S2"
1571829281,3,18,1,"CA,CQ,CK,C2;D2,D9,DA,DK;HQ,D5,DQ,DJ;H9,D4,D10,D8;H5,HA,D3,D7;SK,H10,SQ,D6;C9,H7,C8,CJ;C7,SA,H8,C10;SJ,S10,S3,S8;C6,S9,H6,HK;C5,S6,H4,HJ;C4,S5,H2,H3;C3,S4,S2,S7"
1571829281,3,16,1,"C9,C6,C2,CA;DQ,D8,D7,DA;D9,D6,D5,DK;HA,D4,SQ,DJ;HK,D3,H6,D10;C8,H10,CK,CJ;HJ,H8,CQ,C4;H9,H5,C10,HQ;H7,H3,C7,SA;H4,H2,C5,S10;S5,SK,C3,S9;S3,S6,SJ,S7;S2,D2,S8,S4"
1571829281,3,24,1,"CQ,C5,C10,C2;D6,DK,D7,DA;HQ,DJ,D4,DQ;H7,D10,D2,D9;H6,D5,HA,D8;H5,SQ,HJ,D3;C8,C4,C7,CA;SK,C3,H9,CK;S10,HK,H8,CJ;S9,H4,H3,C9;S8,H2,S7,C6;S5,SA,S6,S3;S2,SJ,S4,H10"
1571829281,3,22,1,"CQ,CK,C2,CA;DJ,DA,D10,DK;D7,D9,D8,DQ;C9,C4,CJ,C10;D6,D2,D5,HQ;D4,HA,D3,H7;S4,S10,SJ,S8;H9,HK,C3,C8;H6,HJ,SQ,C7;H4,H8,H10,C6;H3,SK,H5,C5;SA,S9,S6,S7;S3,S2,S5,H2"
1571829281,3,5,1,"CA,C2,C7,CQ;DK,D9,DQ,DA;D7,D8,DJ,D10;SQ,HA,D6,D5;HJ,HQ,D3,D4;H10,H4,H9,D2;C8,CK,C6,C10;C5,CJ,H8,C4;C3,C9,H7,HK;SA,S10,S8,SJ;SK,S9,S7,S2;S6,S5,S4,H3;H5,S3,H6,H2"
